,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",4760105,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Save Your Tears","The Weeknd",4080364,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
3,telepatía,"Kali Uchis",3998614,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
4,"Astronaut In The Ocean","Masked Wolf",3735990,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Blinding Lights","The Weeknd",3513513,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,DÁKITI,"Bad Bunny",3476512,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
7,"Leave The Door Open","Bruno Mars",3376940,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"The Business",Tiësto,2893321,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,Bandido,"Myke Towers",2866749,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
10,"On The Ground",ROSÉ,2772243,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
11,"Calling My Phone","Lil Tjay",2752067,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
12,"Hold On","Justin Bieber",2751816,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
13,"What’s Next",Drake,2749621,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
14,"Mood (feat. iann dior)",24kGoldn,2684155,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
15,Streets,"Doja Cat",2653945,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
16,"Heartbreak Anniversary",Giveon,2572285,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
17,"WITHOUT YOU","The Kid LAROI",2554710,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
18,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2518204,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
